Phrase	Grammar	Transcription	Translation	Notes
ἡ ἀρά, -ᾶς	V		a curse	
ἀποτολμάω	V		to be bold	
τό ἀποσκίασμα, -τος	N		a shadow	
ἡ ἀπουσία, -ας	V		absence	
ἀπροσωπολήμπτως	Adj		impartially	
Ἀππίου	N		the Forum of Appius	
ἡ Ἀπφία, -ας	N		Apphia	
ὁ ἀρήν, -ἀρνός	N		a lamb	
ὁ ἀργυροκόπος, -ου	N		silversmith	
ἄραφος, -ον	N		seamless	
ἀποψύχω	N		to faint	
ἀπορίπτω	V		jump overboard	
ἡ ἀπόχρησις, -εως	N		consuming, using up	
ὁ Ἁρέτας, -α	V		Aretas	
ἀπρόσιτος, -ον	Adv		unapproachable	
ἀποστεγάζω	N		to unroof	
ἀργέω	N		to become idle	
ἡ ἀρεσκεία, -ας	Adj		desire to please	
ὁ Ἄραψ, -βος	Adj		an Arab	
ἀποτίνω	N		to pay back, repay	
ἀποστυγέω	Adj		to hate strongly, abhor	
ἀποτρέπομαι	V		to turn away from, avoid	
ὁ Ἀριστόβουλος, -ου	V		Aristobulus	
ὁ Ἀρφαξάδ	N		Arphaxad	
ὁ Ἀρνί	N		Arni	
ὁ Ἀρτεμᾶς, -ᾶ	V		Artemas	
τό ἄροτρον, -ου	Adj		a plow	
ἁρμόζομαι	Adj		to join (in marriage)	
ἄρρητος, -ον	N		inexpressible, unspeakable	
ἄρτιος, -α, -ον	N		complete, adequate	
ἀρτιγέννητος, -ον	N		newborn	
τό ἀσθένημα, -τος	Adv		weakness	
ἀσεβέω	N		to act impiously, in an ungodly way	
ἄσημος, -ον	V		insignificant	
ὁ ἀρχιτελώνης, -ου	N		a chief tax collector	
ὁ ἀρτέμων, -ωνος	V		a foresail	
ὁ ἀρχιποίμην, -ενος	N		chief shepherd	
ὁ ἄρκος, -ου	Adj		a bear	
ὁ Ἀσιάρχης, -ου	Adj		Asiarch	
ὁ ἁρπαγμός, -οῦ	N		a thing to be grasped, booty	
Ἁρμαγεδών	V		Armageddon	
ὁ Ἀρχέλαος, -ου	N		Archelaus	
ὁ ἁρμός, -οῦ	Adj		a joint	
ὁ ἀρχιτέκτων, -ονος	Adj		a master builder	
ὁ Ἀσιανός, -οῦ	N		an Asian	
ἀρχιερατικός, -όν	N		highpriestly	
ἆσσον	V		nearer	
ὁ αὐλός, -οῦ	N		a flute	
