Phrase	Grammar	Transcription	Translation	Notes
कट्टरपंथी	m		(adj. &amp; noun) fanatical; fanatic	
कठिन			hard, difficult	
कठिनाई	f		difficulty	
कठोर			hard, harsh	
कड़वा			bitter	
कड़ा			hard, tough, strict, stern, rigid	
कड़ाही	f		frying pan	
कतार	f		line	
कथक	m		name of a North Indian dance style	
कथा	f		story, tale	
कथानक	m		narrative, plot	
क़द	m		height, size, stature	
क़दम	m		step, pace	
कन्या	f		girl, daughter	
कपट	m		fraud, deceit	
कपड़ा	m		cloth, garment	
कब			when (interrogative)	
कबूतर	m		pigeon	
कब्ज़	f		constipation	
क़ब्र	f		grave	
कभी			ever	
कभी कभी			sometimes	
कभी नहीं			never	
कम			few, less	
कम करना			to reduce	
कम से कम			at least; the smallest amount possible	
कमज़ोर			weak	
कमज़ोरी	f		weakness	
कमर	f		waist	
कमर कसना / बाँधना			to gird up the loins, prepare for action	
कमरा	m		roo	
कमाई	f		earnings, income	
कमाना			to earn	
कमाल	m		wonder, miracle, astonishing feat	
कमी	f		lack, shortage	
क़मीज़	f		shirt	
कम्प्यूटर	m		computer	
कर	m		tax	
करना			to do	
करवाना			to cause to be done, to get done	
क़रीब			close, near	
करोड़			crore (ten million, i.e. a hundred lakhs: written 100,00,000)	
क़र्ज़	m		debt, loan	
कर्तव्य	m		duty	
कर्म	m		action, deed, karma (fate determined by past deeds	
कर्मचारी	m		employee, worker	
कल			yesterday; tomorrow	
क़लम			pen (m. (f.))	
कला	f		art	
कलाई	f		wrist	
कलाकार	m		artist	
कलात्मक			artistic	
कल्पना	f		imagination	
कल्पित			imaginary	
कवयित्री	f		poetess	
कवि	m		poet	
कविता	f		poetry; poem	
कष्ट	m		trouble, inconvenience	
कसना			to tighten, be pulled tight	
कसके			tightly, strongly	
क़सम	f		oath	
क़सम खाना			to take an oath	
कसरत	f		exercise, training	
क़साई	m		butcher	
कसूर	m		fault, offence, guilt	
कहना (1): (से) कहना			to say (to	
कहना (2): इसको कुआँ कहते हैं			to call: this is called a well, lit. 'they call this a well'	
कहलाना			to be called	
कहाँ			where?	
कहानी	f		story; short story (literary genre	
कहानीकार	m		short-story writer	
कहावत	f		proverb, saying	
कहीं			somewhere; somewhat; lest	
कहीं और			somewhere else; rather more	
कहीं न कहीं			somewhere or other	
कहीं नहीं			nowhere	
कहीं भी			anywhere	
काँच	m		glass (the substance	
काँटा	m		thorn; fork	
काँपना			to tremble, shiver	
का-की-के: e.g. मोहन की बहिन			(postposition that hows possession, like English 'apostrophe s', e.g. Mohan's sister	
काका	m		uncle (father's younger brother	
काकी	f		aunt (wife of father's younger brother	
