Phrase	Grammar	Transcription	Translation	Notes
领导	lǐngdǎo	to lead	HSK 5
流传	liúchuán	to spread	HSK 5
浏览	liúlǎn	to browse	HSK 5
流泪	liúlèi	to shed tears	HSK 5
利用	lìyòng	to use (even a person), to utilize	HSK 5
漏	lòu	to leak, to mistakenly leave out	HSK 5
落后	luòhòu	to fall behind	HSK 5
录取	lùqǔ	to recruit, to enroll	HSK 5
录音	lùyīn	to record (audio)	HSK 5
骂	mà	to yell at, to scold, to curse	HSK 5
满足	mǎnzú	to satisfy	HSK 5
冒险	màoxiǎn	to take a risk	HSK 5
面对	miànduì	to confront, to face	HSK 5
面临	miànlín	to be faced with (a situation)	HSK 5
描写	miáoxiě	to describe	HSK 5
命令	mìnglìng	to give a command	HSK 5
摸	mō	to touch, to feel (with one's hand), to stroke	HSK 5
模仿	mófǎng	to imitate	HSK 5
念	niàn	to read aloud	HSK 5
派	pài	to send (on official business)	HSK 5
拍	pāi	to pat, to clap, to slap	HSK 5
盼望	pànwàng	to long for	HSK 5
赔偿	péicháng	to compensate	HSK 5
佩服	pèifú	to admire	HSK 5
配合	pèihé	to cooperate with	HSK 5
培训	péixùn	to train	HSK 5
培养	péiyǎng	to nurture	HSK 5
碰	pèng	to bump; to touch	HSK 5
披	pī	to drape over one's shoulders	HSK 5
飘	piāo	to float	HSK 5
凭	píng	based on	HSK 5
平衡	pínghéng	to balance	HSK 5
评价	píngjià	to evaluate	HSK 5
平均	píngjūn	to average	HSK 5
批准	pīzhǔn	to approve	HSK 5
破产	pòchǎn	to go bankrupt	HSK 5
破坏	pòhuài	to destroy	HSK 5
欠	qiàn	to owe	HSK 5
签	qiān	to sign (one's name)	HSK 5
抢	qiǎng	to grab, to rob	HSK 5
强调	qiángdiào	to emphasize	HSK 5
瞧	qiáo	to look at	HSK 5
期待	qīdài	to look forward to	HSK 5
切	qiē	to cut, to slice	HSK 5
启发	qǐfā	to inspire	HSK 5
请求	qǐngqiú	to request	HSK 5
轻视	qīngshì	to despise, to look down on	HSK 5
庆祝	qìngzhù	to celebrate	HSK 5
娶	qǔ	to marry a woman	HSK 5
劝	quàn	to urge	HSK 5
确定	quèdìng	to be sure	HSK 5
缺乏	quēfá	to be short of, to lack	HSK 5
确认	quèrèn	to confirm	HSK 5
去世	qùshì	to pass away, to die	HSK 5
取消	qǔxiāo	to cancel	HSK 5
燃烧	ránshāo	to burn	HSK 5
绕	rào	to revolve, to move around, to wind	HSK 5
热爱	rè'ài	to love fervently	HSK 5
忍不住	rěnbuzhù	to be unable to bear	HSK 5
洒	sǎ	to sprinkle	HSK 5
杀	shā	to kill	HSK 5
晒	shài	to sun, to put out to dry; to show off (e.g. photos on WeChat)	HSK 5
删除	shānchú	to delete	HSK 5
上当	shàngdàng	to be taken in (by a scam)	HSK 5
伤害	shānghài	to hurt	HSK 5
善于	shànyú	to be good at	HSK 5
舍不得	shěbude	to begrudge doing, to hate to part with	HSK 5
设计	shèjì	to design	HSK 5
射击	shèjī	to shoot, to fire	HSK 5
伸	shēn	to stretch (out)	HSK 5
升	shēng	to raise	HSK 5
生产	shēngchǎn	to produce, to manufacture	HSK 5
胜利	shènglì	to be victorious	HSK 5
省略	shěnglüè	to omit	HSK 5
生长	shēngzhǎng	to grow up, to develop	HSK 5
摄影	shèyǐng	to take a photograph	HSK 5
使劲儿	shǐjìnr	to use all one's strength	HSK 5
失眠	shīmián	to suffer from sleep deprivation	HSK 5
失去	shīqù	to lose (something)	HSK 5
实习	shíxí	to intern	HSK 5
实现	shíxiàn	to realize	HSK 5
实验	shíyàn	to experiment	HSK 5
失业	shīyè	to lose one's job	HSK 5
收获	shōuhuò	to gain, to benefit	HSK 5
数	shǔ	to count	HSK 5
甩	shuǎi	to fling, to throw off, to dump (a love interest)	HSK 5
摔倒	shuāidǎo	to slip and fall down; a throw (in wrestling)	HSK 5
说不定	shuōbudìng	can't say for sure, maybe	HSK 5
说服	shuōfú	to persuade	HSK 5
输入	shūrù	to input	HSK 5
属于	shǔyú	to belong to	HSK 5
撕	sī	to tear (paper)	HSK 5
思考	sīkǎo	to ponder	HSK 5
搜索	sōusuǒ	to search (often online)	HSK 5
碎	suì	to break into pieces, to shatter	HSK 5
随身	suíshēn	to (carry) on one's person	HSK 5
损失	sǔnshī	to lose (something of value)	HSK 5
锁	suǒ	to lock	HSK 5
缩短	suōduǎn	to shorten	HSK 5
烫	tàng	to scald; to iron; to perm (hair)	HSK 5
谈判	tánpàn	to negotiate	HSK 5
逃	táo	to escape	HSK 5
逃避	táobì	to evade	HSK 5
讨价还价	tǎojià-huánjià	to haggle over a price	HSK 5
疼爱	téng'ài	to love dearly	HSK 5
挑战	tiǎozhàn	to challenge	HSK 5
调整	tiáozhěng	to adjust	HSK 5
提倡	tíchàng	to advocate	HSK 5
体会	tǐhuì	to (personally) experience	HSK 5
提问	tíwèn	to raise a question	HSK 5
体现	tǐxiàn	to embody	HSK 5
体验	tǐyàn	to experience onself	HSK 5
统一	tǒngyī	to unify	HSK 5
偷	tōu	to steal	HSK 5
投入	tóurù	to throw into, to put into	HSK 5
投资	tóuzī	to invest	HSK 5
吐	tǔ	to vomit, to spit up	HSK 5
突出	tūchū	to highlight	HSK 5
退	tuì	to retreat	HSK 5
退步	tuìbù	to regress	HSK 5
推辞	tuīcí	to decline (an appointment, invitation, etc.)	HSK 5
推广	tuīguǎng	to promote	HSK 5
推荐	tuījiàn	to recommend	HSK 5
退休	tuìxiū	to retire	HSK 5
往返	wǎngfǎn	to go back and forth	HSK 5
完善	wánshàn	to make perfect; to improve	HSK 5
违反	wéifǎn	to violate, to break (a rule or law)	HSK 5
危害	wēihài	to harm	HSK 5
委屈	wěiqu	to feel wronged	HSK 5
围绕	wéirào	to revolve around, to encircle	HSK 5
微笑	wēixiào	to smile	HSK 5
威胁	wēixié	to threaten	HSK 5
维修	wéixiū	to maintain	HSK 5
位于	wèiyú	to be located at	HSK 5
闻	wén	to smell (something)	HSK 5
吻	wěn	to kiss	HSK 5
问候	wènhòu	to send one's regards	HSK 5
握手	wòshǒu	to shake hands	HSK 5
勿	wù	do not	HSK 5
无奈	wúnài	to lack a better option	HSK 5
无所谓	wúsuǒwèi	to be indifferent, to not to matter	HSK 5
吓	xià	to frighten; to scare	HSK 5
显得	xiǎnde	to seem, to appear	HSK 5
相处	xiāngchǔ	to associate with, to interact with	HSK 5
想念	xiǎngniàn	to miss (someone or something)	HSK 5
享受	xiǎngshòu	to enjoy	HSK 5
相似	xiāngsì	to resemble	HSK 5
想象	xiǎngxiàng	to imagine	HSK 5
象征	xiàngzhēng	to symbolize	HSK 5
显示	xiǎnshì	to display	HSK 5
限制	xiànzhì	to limit	HSK 5
消费	xiāofèi	to consume	HSK 5
消化	xiāohuà	to digest	HSK 5
消失	xiāoshī	to disappear	HSK 5
孝顺	xiàoshùn	to show filial obedience (respect to one's parents)	HSK 5
下载	xiàzǎi	to download	HSK 5
歇	xiē	to take a break	HSK 5
形成	xíngchéng	to take shape	HSK 5
形容	xíngróng	to describe	HSK 5
信任	xìnrèn	to trust, to have confidence in	HSK 5
欣赏	xīnshǎng	to appreciate	HSK 5
吸取	xīqǔ	to draw (a lesson, insight etc)	HSK 5
吸收	xīshōu	to absorb	HSK 5
修改	xiūgǎi	to modify	HSK 5
宣布	xuānbù	to declare, to announce	HSK 5
宣传	xuānchuán	to promote	HSK 5
训练	xùnliàn	to train	HSK 5
询问	xúnwèn	to inquire	HSK 5
寻找	xúnzhǎo	to seek	HSK 5
叙述	xùshù	to relate (a story or information)	HSK 5
延长	yáncháng	to prolong, to extend	HSK 5
痒	yǎng	to itch, to feel a tickle	HSK 5
演讲	yǎnjiǎng	to make a speech	HSK 5
摇	yáo	to shake, to rock	HSK 5
咬	yǎo	to bite	HSK 5
移动	yídòng	mobile	HSK 5
遗憾	yíhàn	to regret	HSK 5
议论	yìlùn	to discuss	HSK 5
移民	yímín	to immigrate, to emigrate	HSK 5
应付	yìngfu	to deal with, to cope	HSK 5
迎接	yíngjiē	to welcome	HSK 5
营业	yíngyè	to do business	HSK 5
应用	yìngyòng	to apply (e.g. a principle)	HSK 5
印刷	yìnshuā	to print	HSK 5
拥抱	yōngbào	to hug	HSK 5
游览	yóulǎn	to go sightseeing	HSK 5
犹豫	yóuyù	to hesitate	HSK 5
油炸	yóuzhá	to deep-fry	HSK 5
预报	yùbào	to forecast	HSK 5
预订	yùdìng	to place an order	HSK 5
预防	yùfáng	to prevent	HSK 5
