Phrase	Grammar	Transcription	Translation	Notes
dont	pro	dɔ͂	whose, of which	
le premier	det,nadj	pʀəmje	first	
perdu	nadj	pɛʀdy	lost, stray, wasted	
la main	nf	mɛ͂	hand	
le côté	nm	kote	side	
pouvoir	nm,v	puvwaʀ	can, to be able to	
le vieux	adj(pl),nm(pl)	vjø	old	
tiens	nadjpl,intj	t(ə)niʀ	ah, well	
le matin	nm	matɛ͂	morning	
tellement	adv	tɛlmɑ͂	so much, indeed	
un enfant, une enfant	nm,nf,adj(f)	ɑ͂fɑ͂	child	
le point	adv,nm	pwɛ͂	point; at all	
venu	nadj	v(ə)ny	come	
la suite	nf	sɥit	result, follow-up, rest	
le pardon	nm	paʀdɔ͂	forgiveness	
le devant	adv,nm,prep	d(ə)vɑ͂	in front, ahead	
le vers	nm(pl),prep	vɛʀ	toward	
la chambre	nf	ʃɑ͂bʀ	bedroom, chamber	
le droit	adj,adv,nm	dʀwa	right	
le mari, la mari	nm	maʀi	husband	
la cause	nf	koz	cause	
enfin	adv	ɑ͂fɛ͂	at last, finally	
une eau	nf	o	water	
le parti	nadj	paʀti	political party; gone	
le boulot	adj,nm	bulo	work, job	
arrêter	v	aʀete	to stop, arrest	
la terre	nf	tɛʀ	earth, world, soil, land	
le compte	nm	kɔ͂t	account, count	
loin	adv,nm	lwɛ͂	far	
le fin, la fin	adj,adv,nf,nm	fɛ͂	end; gist; clever person	
croire	v	kʀwaʀ	to believe	
gros	adv,nadj(pl)	gʀo	big	
plutôt	adv	plyto	rather	
jouer	v	ʒwe	to play	
le bureau	nm	byʀo	office, desk	
hier	adv	jɛʀ	yesterday	
le prêt	adj,nm	pʀɛ	ready	
mourir	v	muʀiʀ	to die	
celui	pro	səlɥi	that, the one, he, him	
demander	v	d(ə)mɑ͂de	to ask for	
possible	adj(f)	pɔsibl	possible	
le jeune, la jeune	nadj(f)	ʒœn	young	
le dehors	adv,nm(pl),prep	dəɔʀ	outside	
euh	intj	ø	er, um, uh	
une école	nf	ekɔl	school	
beau	adj,nm	bo	handsome, fine, right	
appeler	v	aple	to call	
la semaine	nf	s(ə)mɛn	week	
le propos	nm(pl)	pʀɔpo	remark, about	
la vérité	nf	veʀite	truth	
le chef	nm	ʃɛf	head, leader, chief	
la confiance	nf	kɔ͂fjɑ͂s	confidence, trust	
le feu	adj(f),nm	fø	fire	
vivre	nm,v	vivʀ	to live	
le docteur	nm	dɔktœʀ	doctor	
la journée	nf	ʒuʀne	day	
près	adv,prep	pʀɛ	near, nearby, close by	
la madame	nf	madam, medam	madam, lady	
le meilleur	nadj	mɛjœʀ	better, best	
le dessus	adv,nm(pl),prep	d(ə)sy	above, on top	
le téléphone	nm	telefɔn	telephone	
le dur	adv,nadj	dyʀ	hard	
manger	nm,v	mɑ͂ʒe	to eat	
le garçon	nm	gaʀsɔ͂	boy	
le mariage	nm	maʀjaʒ	marriage	
une équipe	nf	ekip	team	
arriver	v	aʀive	to arrive, happen	
la marche	nf	maʀʃ	walk, step, march	
la guerre	nf	gɛʀ	war	
le derrière	adv,nm,prep	dɛʀjɛʀ	last; behind	
plein	adv,nadj,prep	plɛ͂	full	
important	nadj	ɛ͂pɔʀtɑ͂	important	
le fort	adv,adj,nm	fɔʀ	strong	
exactement	adv	ɛgzaktəmɑ͂	exactly	
presque	adv	pʀɛsk	almost	
dernier	nadj	dɛʀnje	last, previous	
le fou	adj,nm	fu	mad, crazy	
la fête	nf	fɛt	holiday, celebration	
tomber	v	tɔ͂be	to fall	
attendre	v	atɑ͂dʀ	to wait	
la sécurité	nf	sekyʀite	security, safety	
la vue	nf	vy	view	
le jeu	nm	ʒø	game	
génial	adj	ʒenjal, jo	inspired, great, brilliant	
une envie	nf	ɑ͂vi	envy, desire	
le capitaine	nm	kapitɛn	captain	
le pays	nm(pl)	pei	country	
le garde, la garde	nm,nf	gaʀd	guard	
le cours, la cours	nfpl,nm(pl)	kuʀ	course	
le numéro	nm	nymeʀo	number	
bientôt	adv	bjɛ͂to	soon	
cinq	det,nm(pl)	sɛ͂k,	five	
le parfait	nadj	paʀfɛ	perfect	
la minute	nf	minyt	minute	
ainsi	adv	ɛ͂si	thus	
autant	adv	otɑ͂	as much, as many	
le retour	nm	ʀ(ə)tuʀ	return	
la peine	nf	pɛn	effort, trouble	
un instant	adj,nm	ɛ͂stɑ͂	instant, moment	
mauvais	adv,nadj(pl)	movɛ	bad, wrong	
une arme	nf	aʀm	weapon	
le prison, la prison	nf	pʀizɔ͂	prison	
penser	nm,v	pɑ͂se	to think	
le mot	nm	mo	word	
le film	nm	film	film	
quatre	det,nmi	katʀ(ə)	four	
essayer	v	eseje	to try	
rentrer	v	ʀɑ͂tʀe	to go in, come in, come back, return	
le plan	adj,nm	plɑ͂, plan	plan	
travailler	v	tʀavaje	to work	
regarder	v	ʀ(ə)gaʀde	to look, watch	
parfois	adv	paʀfwa	sometimes	
la faute	nf	fot	mistake, error, fault	
le choix	nm(pl)	ʃwa	choice	
le bas	adv,nadj(pl),nm(pl)	bɑ	low; stockings	
heureux	nadj(pl)	øʀø, -øz	happy, lucky, fortunate	
facile	adj(f)	fasil	easy	
entendre	v	ɑ͂tɑ͂dʀ	to hear	
changer	v	ʃɑ͂ʒe	to change	
le lit	nm	li	bed	
entrer	v	ɑ͂tʀe	to enter, go in, come in	
le plaisir	nm	pleziʀ	pleasure	
ensuite	adv	ɑ͂sɥit	next, following	
propre	nadj(f)	pʀɔpʀ	clean, proper, own	
la route	nf	ʀut	road	
le tour, la tour	nm,nf	tuʀ	tower; turn; tour	
garder	v	gaʀde	to keep	
une année	nf	ane	year	
drôle	adj(f),nm	dʀol	funny, strange	
le service	nm	sɛʀvis	service	
rendre	v	ʀɑ͂dʀ	to render, return, yield, give up	
un agent, une agent	nm,nf	aʒɑ͂	agent	
le lieu	nm	ljø	the place	
devoir	nm,v	d(ə)vwaʀ	to have to, owe; duty	
le sujet	nm	syʒɛ	subject, topic	
difficile	nadj(f)	difisil	difficult	
le pire	nadj(f)	piʀ	worse, worst	
la sorte	nf	sɔʀt	sort, kind	
ceci	pro	səsi	this	
un état	nm	eta	state	
bizarre	nadj(f)	bizaʀ	strange, odd	
le chien	nm	ʃjɛ͂	dog	
perdre	v	pɛʀdʀ	to lose	
impossible	nadj(f)	ɛ͂pɔsibl	impossible	
tôt	adji,adv	to	early	
dès	prep	dɛ	from, as soon	
payer	v	peje	to pay	
le calme	nadj(f)	kalm	calm	
le café	nm	kafe	coffee, café	
le verre	nm	vɛʀ	glass, cup	
la ferme	adj(f),adv,nf	fɛʀm	farm; firm	
la photo	nf	fɔto	photo	
sûrement	adv	syʀmɑ͂	surely	
montrer	v	mɔ͂tʀe	to show	
le cœur	nm	kœʀ	heart	
le meurtre	nm	mœʀtʀ	murder	
un hôpital	nm	ɔpital, o	hospital	
la musique	nf	myzik	music	
un avis	nm(pl)	avi	opinion, mind	
sauf	adj,prep	sof	except; safe	
le courant	adj,nm	kuʀɑ͂	current	
le doute, la doute	nm	dut	doubt	
la seconde	det,nf	s(ə)gɔ͂d	second	
sérieux	nadj(pl)	seʀjø	serious	
le marché	nm	maʀʃe	market	
le gentil	nadj	ʒɑ͂ti, ij	nice, kind	
un haut	adv,nadj	ˊo	top, high	
le malade, la malade	nadj(f)	malad	ill, sick	
dîner	nm,v	dine	dinner; to dine	
un esprit	nm	ɛspʀi	mind, spirit	
le moyen	adj,nm	mwajɛ͂	means, way; medium	
le six	det,nmi	sis	six	
la salle	nf	sal	the room, the hall	
comprendre	v	kɔ͂pʀɑ͂dʀ	to understand	
sauver	v	sove	to rescue, save	
le cul	nm	ky	bum, arse, ass	
le seigneur	nm	sɛɲœʀ	lord	
le simple	nadj(f)	sɛ͂pl	simple	
le bras	nm(pl)	bʀa	arm	
le chéri	nadj	ʃeʀi	darling, love, dear	
partout	adv	paʀtu	everywhere	
le visage	nm	vizaʒ	face	
le chemin	nm	ʃ(ə)mɛ͂	path, way	
le retard	nm	ʀ(ə)taʀ	delay	
la soirée	nf	swaʀe	evening, party	
un écrit	nadj	ekʀi	writing	
le livre, la livre	nm,nf	livʀ	book	
la face	nf	fas	front, side, face	
boire	nm,v	bwaʀ	to drink	
le surtout	adv,nm	syʀtu	especially, above all	
le bois	nm(pl)	bwɑ	wood	
la joue	nf	ʒu	cheek	
le rapport	nm	ʀapɔʀ	relationship, report	
le message	nm	mesaʒ	message	
le pauvre	nadj(f)	povʀ	poor	
une erreur	nf	eʀœʀ	mistake, error	
sinon	conj	sinɔ͂	otherwise, or else	
un honneur	nm	ɔnœʀ	honor	
rencontrer	v	ʀɑ͂kɔ͂tʀe	to meet	
un an	nm	ɑ͂	year	
devenir	nm,v	dəv(ə)niʀ	to become	
souvent	adv	suvɑ͂	often	
revenir	v	ʀ(ə)vəniʀ, ʀəvniʀ	to come back	
messieurs	nmpl	mesjø	gentlemen	
le sort	nm	sɔʀ	fate, curse	
la pièce	nf	pjɛs	piece, part, component; room	
dormir	v	dɔʀmiʀ	to sleep	
la grave	adv,nadj(f),nm	gʀav	serious, grave	
commencer	v	kɔmɑ͂se	to begin, start	
le roi	nm	ʀwa	king	
le groupe	nm	gʀup	group	
la carte	nf	kaʀt	card, map	
un intérieur	nadj	ɛ͂teʀjœʀ	interior, inside	
le reçu	nm	ʀ(ə)sy	receipt, accepted	
le rêve	nm	ʀɛv	dream	
bonsoir	intj,nm	bɔ͂swaʀ	good evening	
le faux, la faux	adv,adj(pl),nm(pl),nf(pl)	fo	false; scythe	
le manque, la manque	nm	mɑ͂k	lack	
un appel	nm	apɛl	call	
le sac	nm	sak	bag, sack	
content	adj	kɔ͂tɑ͂	glad, pleased, happy	
cher	adj,adv	ʃɛʀ	expensive	
le président	nm	pʀezidɑ͂, ɑ͂t	president	
acheter	v	aʃ(ə)te	to buy	
le début	nm	deby	the beginning	
le secret	nadj	səkʀɛ	secret	
le maître	nm	mɛtʀ	master	
la venue	nf	v(ə)ny	coming	
le patron	nm	patʀɔ͂	boss	
