Phrase	Grammar	Transcription	Translation	Notes
ὁ Γαμαλιήλ	Adj		Gamaliel	
διστάζω	N		to doubt, waver, hesitate	
διόπερ	Adv		therefore, for this very reason	
ἡ διετία, -ας	V		a space of two years	
ἡ δοχή, -ῆς	V		a reception, a banquet	
ὁ δικαστής, -οῦ	Conj		a judge	
τό ἔγκλημα, -τος	V		an accusation, charge	
διαχειρίζομαι	V		lay violent hands on, put to death	
δίψυχος, -ον	N		double-minded, hesitating	
τό δοκίμιον, -ου	N		a testing	
ἐγκρατεύομαι	V		to exercise self-control	
διασπάω	N		to tear apart	
διϊσχυρίζομαι	V		to insist, maintain firmly	
δυναμόω	V		to strengthen, enable	
δυσβάστακτος, -ον	-		hard to bear	
διατηρέω	N		to keep free of	
διχοτομέω	Adv		to cut in two	
διοδεύω	Adj		to travel through, go about	
ἡ Δορκάς, -άδος	N		Dorcas	
τό δίδραχμον, -ου	N		a double drachma	
ἐγκαινίζω	N		to renew, inaugurate, dedicate	
ἡ διχοστασία, -ας	Adj		dissension	
ἡ διαταγή, -ῆς	V		ordinance, direction	
ἡ δικαίωσις, -εως	V		justification	
ἡ δόσις, -εως	Adv		gift, giving	
διδακτικός, -ή, -όν	Adj		able to teach	
τό δώρημα, -τος	V		a gift, present	
ἐκφύω	V		put forth	
ἑκουσίως	V		voluntarily, willingly	
ἐκκλείω	Adj		to shut out, exclude	
ἐκκεντέω	V		to pierce	
ἐκτελέω	Adj		to finish	
εἰλικρινής, -ές	N		pure, sincere	
ἔκπαλαι	V		long ago, for a long time	
ὁ Ἐλιούδ	V		Eliud	
ἐκκαθαίρω	N		to cleanse thoroughly	
ἐλαφρός, -ά, -όν	N		light, easy to bear	
εἰρηνικός, -ή, -όν	N		peaceable, peaceful	
ἐγκρύπτω	V		to hide	
ἐκεῖσε	N		thither, there	
ἐκμυκτηρίζω	N		to ridicule, sneer	
ἐκπέμπω	N		to send out	
ὁ ἔκδικος, -ου	V		avenging, punishing	
ἐκτρέφω	Adj		to to nourish, rear, bring up	
ἐλεήμων, -ον	Adj		merciful, sympathetic, compassionate	
ἑκών, -οῦσα, -ον	V		of one's own free will, voluntarily	
ἡ ἔκβασις, -εως	N		outcome, a way out, end	
ἐκτενής, -ές	Adj		zealous, earnest, fervent	
ὁ Ἑζεκίας, -ου	N		Hezekiah	
ἐκδιηγέομαι	N		to tell in detail, describe	
ἐκτενῶς	N		intently, fervently	
ἔκφοβος, -ον	V		terrified	
ὁ Ἐλεάζαρ	N		Eleazar	
ἐλεεινός, -ή, -όν	N		miserable, pitiable	
ἔναντι	N		before (gen)	
ἔννομος, -ον	N		legal, lawful	
ἐμβάπτω	Adj		to dip	
ἡ ἐνέδρα, -ας	V		an ambush	
ἡ Ἑλληνίς, -ίδος	N		a Greek	
ἐνδοξάζομαι	V		to be glorified	
ἐνευλογέω	N		to bless	
ἐνθυμέομαι	N		to ponder, consider, think	
ἐμφανής, -ές	N		visible , manifest	
Ἑλληνιστί	N		the Greek language	
ἐνάρχομαι	N		to begin	
ἐνδιδύσκω	V		to dress, put on	
ἔνθεν	N		from here	
ἡ ἔννοια, -ας	Pre		a thought, intention, purpose	
ἐλλογέω	Adj		to charge to one's account, impute	
τό ἐνέργημα, -τος	Adj		an effect, activity	
ἑλίσσω	Adj		to roll up, to coil	
ὁ ἐμπαίκτης, -ου	V		a mocker	
ἐναγκαλίζομαι	N		to take in one's arms, hug	
ἔνδικος, -ον	V		righteous, just	
ἐμπορεύομαι	N		to engage in business	
ἐνισχύω	V		to strengthen	
ἐνεδρεύω	V		to lie in wait , plot	
ἐνοχλέω	N		to trouble, annoy	
ἐμπλέκομαι	V		to be entangled, involved in	
ελωι	Adj		Eloi, my God	
ἡ ἑνότης, -ητος	N		oneness, unity	
ἐντός	N		inside, among	
ἐπαιτέω	N		to beg	
ἐξανατέλλω	V		to spring up	
ἐπενδύω	N		to be clothed upon	
ἐπανέρχομαι	N		to return	
ἐξαπορέομαι	Adj		to despair	
ἐνταφιάζω	N		to prepare for burial, bury	
ἐπανίστημι	N		to rise up against	
ἑξακόσιοι, -αι, -α	N		six hundred	
ἐπιδέχομαι	N		to receive, accept	
ὁ ἐνταφιασμός, -οῦ	V		preparation for burial, burial	
ἐξωθέω	Adj		to drive out, run aground	
ἐπηρεάζω	V		to mistreat, revile	
ἐπαναπαύομαι	N		to rest, rest upon	
ἐξαρτίζω	N		to finish, complete, equip	
ἐνυπνιάζομαι	N		to dream	
ἐξεγείρω	V		to raise, raise up	
ἔοικα	N		to be like	
ἡ ἐντροπή, -ῆς	N		shame, humiliation	
ἡ ἐπαρχεία, -ας	Adj		a province	
ἐξαγγέλλω	N		to proclaim, report	
ἐξορύσσω	V		to dig out, dig through	
ἡ ἔντευξις, -εως	Adj		petition, request, prayer	
τό ἐπάγγελμα, -τος	V		a promise	
